# https://earthdata.nasa.gov/earth-observation-data/near-real-time/firms/active-fire-data
-25.088,152.358
-30.087,150.998
-6.37,155.393
-42.563,147.325
-15.6,-39.341
-15.602,-39.347
-10.994,-36.133
-10.264,-36.305
-10.265,-36.316
-10.254,-36.307
-10.255,-36.317
-19.367,-24.878
30.536,26.092
12.363,23.522
12.107,21.781
12.102,21.29
12.249,20.101
12.244,20.094
12.243,20.103
12.235,20.092
11.43,22.174
11.398,22.169
11.385,22.18
12.061,14.022
12.059,14.036
11.283,14.197
10.572,18.647
10.083,21.682
10.058,21.703
10.862,16.142
10.861,16.152
9.608,23.694
8.962,20.937
8.961,20.949
8.972,20.739
8.971,20.75
8.304,21.855
8.506,19.446
8.522,19.279
9.103,14.274
8.084,20.852
8.082,20.864
8.075,20.856
7.906,20.617
8.778,12.798
7.446,15.972
7.444,15.981
7.806,13.227
7.812,13.236
-11.064,126.611
-11.068,126.615
-17.995,131.06
-18.138,131.552
-18.631,131.495
-19.003,121.953
-19.006,121.97
-19.023,121.932
-19.233,122.276
-19.295,122.296
-19.301,122.263
-19.303,122.278
-19.306,122.294
-19.302,122.273
-19.304,122.288
-19.313,122.27
-19.316,122.286
-19.318,122.301
27.256,140.883
27.247,140.881
27.244,140.893
1.499,127.632
0.79,127.378
-3.304,128.958
-28.441,114.966
-28.448,115
-40.794,-63.47
-40.79,-63.477
-37.037,-59.857
-37.024,-59.859
-30.521,-52.607
-30.493,-52.546
14.69,-2.061
14.688,-2.049
13.304,-8.306
13.315,-9.95
13.447,-12.948
13.452,-12.955
13.354,-12.585
12.74,-9.61
12.558,-9.77
12.496,-10.682
12.39,-10.202
11.984,-9.91
11.431,-6.236
10.971,-4.657
9.81,0.175
9.807,0.197
9.802,0.169
9.798,0.191
10.143,-10.147
9.478,-5.687
9.623,-9.133
9.621,-9.123
9.613,-9.134
9.612,-9.124
9.535,-8.715
8.709,-3.943
9.378,-8.973
9.368,-8.974
9.367,-8.964
9.038,-11.025
9.029,-11.04
8.987,-12.093
7.493,-4.621
7.491,-4.61
35.813,-0.254
0.038,-60.668
0.047,-60.669
0.215,-60.587
0.214,-60.596
0.701,-59.502
0.644,-60.354
0.653,-60.355
0.689,-60.36
